17:40:30.464 [http-nio-8190-exec-3] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:21, serverValue:67}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:40:30.465 [http-nio-8190-exec-3] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:20, serverValue:66}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:40:30.466 [http-nio-8190-exec-3] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:19, serverValue:65}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:40:30.466 [http-nio-8190-exec-3] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:18, serverValue:64}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:40:30.467 [http-nio-8190-exec-3] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:17, serverValue:63}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:40:30.468 [http-nio-8190-exec-3] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:16, serverValue:62}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:40:30.468 [http-nio-8190-exec-3] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:15, serverValue:61}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:40:30.469 [http-nio-8190-exec-3] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:14, serverValue:60}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:40:30.470 [http-nio-8190-exec-3] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:13, serverValue:59}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:40:30.470 [http-nio-8190-exec-3] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:12, serverValue:58}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:40:30.472 [http-nio-8190-exec-3] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:22, serverValue:68}] to 172.16.21.122:27017
17:41:07.214 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:23, serverValue:69}] to 172.16.21.122:27017
17:41:07.216 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:24, serverValue:70}] to 172.16.21.122:27017
17:41:07.218 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:25, serverValue:71}] to 172.16.21.122:27017
17:41:07.220 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:26, serverValue:72}] to 172.16.21.122:27017
